Submission ID,cup_assumptions,spent_assumptions
1r2QRl,2,0.3333333333333333
jB985Q,2,5.0
J2kEBo,2,0.3333333333333333
eBxgvk,2,2.3333333333333335
7d97jZ,2,1.0
dY2JzK,1,1.6666666666666667
PABZe5,1,1.6666666666666667
J2kEGo,1,1.0
ylq8zx,1,1.6666666666666667
xdN8z5,2,1.0
NAB2dj,2,1.0
ylq81x,1,1.0
vNx8zD,1,1.6666666666666667
oAV8zP,3,1.0
QABNkG,1,1.0
PABZqd,3,3.0
oAV8LX,2,3.0
XeB6Pd,2,0.3333333333333333
AlbMRB,2,2.3333333333333335
jB98XR,2,1.0
NAB2Zb,0,0.3333333333333333
aBrpMy,2,1.0
OABxKK,2,1.0
EPbooq,0,0.3333333333333333
PABZq0,2,2.3333333333333335
GrBOE2,1,5.0
pLPYYZ,1,1.0
GrBOVj,2,5.0
rlr8Z5,1,2.3333333333333335
KMBr2M,2,1.0
kYR8BJ,2,1.6666666666666667
aBrpJ9,1,0.3333333333333333
bl41a0,2,2.3333333333333335
RzBqyp,2,1.0
1r2Q0M,2,1.6666666666666667
GrBOO2,3,1.0
jB98V6,1,1.0
QABNpg,3,1.6666666666666667
DVvR6j,2,1.6666666666666667
xdN8q9,1,1.0
xdN8W9,2,1.0
rlr8ep,4,1.0
WApa4L,2,1.6666666666666667
lNl8pV,2,0.3333333333333333
9dJAbX,2,2.3333333333333335
zKQ8A1,2,0.3333333333333333
QABNP1,2,0.3333333333333333
pLPYEE,0,0.3333333333333333
GrBOMQ,2,1.0
RzBqpQ,2,1.6666666666666667
24x9MM,1,0.3333333333333333
7d9rX0,2,0.3333333333333333
YZz72z,0,0.3333333333333333
42Nl0b,2,1.0
lNl8JX,1,5.0
xdN8kd,0,0.3333333333333333
VZ1WWE,1,1.0
bl4QV6,1,0.3333333333333333
LdM4xG,3,3.0
VZ1OLj,2,2.3333333333333335
KMBrrk,1,1.6666666666666667
5dqaWQ,2,2.3333333333333335
NAB22W,5,5.0
eBxWZx,3,5.0
OABxOM,2,1.6666666666666667
lNl825,4,1.6666666666666667
EPboy2,1,1.6666666666666667
LdM48z,2,1.6666666666666667
KMBKYX,3,1.6666666666666667
NAB21W,1,0.3333333333333333
42NlMo,0,1.0
BGbJv4,2,1.0
rlr8No,1,1.0
24xGEe,2,1.0
lNlkBN,2,1.0
eBxWae,2,1.0
WApavR,4,1.6666666666666667
1r2o9p,2,1.0
OABM7R,1,1.0
aBrqOX,2,1.0
qbE1GG,1,1.6666666666666667
8dp4aP,2,1.6666666666666667
0EjR7j,2,0.3333333333333333
YZz7EN,2,1.0
OABxRk,2,1.6666666666666667
AlbMgN,1,1.0
OABxWM,2,1.6666666666666667
xdN5Yy,2,1.0
AlbMYB,3,1.6666666666666667
ylq5Jg,1,1.0
VZ1WRj,2,2.3333333333333335
jB9Ala,3,2.3333333333333335
YZzl4B,4,1.6666666666666667
J2kvz4,2,1.0
oAV8W5,2,2.3333333333333335
oAVLGe,2,3.0
KMBKlA,0,1.0
6dQEDY,2,1.0
1r2o7Q,2,1.6666666666666667
1r2oVQ,2,1.6666666666666667
0EjR8y,2,1.0
LdMLzp,2,5.0
LdML7p,1,1.6666666666666667
jB9Ab4,2,1.0
aBrq4B,1,1.0
DVv6Nq,3,1.6666666666666667
DVv6pR,2,1.0
rlrMON,1,1.0
g5N6Ml,2,1.0
NAB1oB,4,2.3333333333333335
VZ1Ojy,2,0.3333333333333333
dY2exq,3,1.0
RzByo9,1,1.6666666666666667
XeBP4g,0,0.3333333333333333
vNx5P0,3,1.6666666666666667
6dQEZk,3,3.0
bl4QeL,1,1.0
PABJ55,3,1.0
aBrq9b,2,1.6666666666666667
LdMLPv,2,1.0
qbE1VY,2,1.0
oAVLEx,2,1.0
PABJ1V,1,1.6666666666666667
0EjR6N,2,2.3333333333333335
BGbW75,2,1.0
8dp4L5,2,1.6666666666666667
GrBARZ,1,1.0
rlrMBR,1,1.6666666666666667
GrBAve,1,1.6666666666666667
g5N6qO,0,1.0
J2kvOo,2,1.6666666666666667
GrBAlp,3,2.3333333333333335
7d9r2P,3,2.3333333333333335
1r2odl,1,1.0
J2kvdR,1,1.0
jB9APx,2,1.0
DVv6kZ,1,1.0
xdN8Ok,1,1.0
NAB1qO,3,1.6666666666666667
GrBA9Z,3,2.3333333333333335
bl4Qdg,2,1.0
5dqPZo,2,1.6666666666666667
J2kEyz,3,1.6666666666666667
jB98j9,2,1.6666666666666667
DVv67R,4,1.6666666666666667
QABlV8,1,0.3333333333333333
LdMLpj,1,1.0
42NVrX,2,1.6666666666666667
VZ1OpM,2,1.0
42NlWr,1,1.6666666666666667
KMBKV8,1,1.6666666666666667
aBrq6q,2,1.0
YZzlPW,1,1.0
